TUB,E_C,pre,post,duration_minutes,type,length,weight,distressed,nxh_pre,nhx_post,srp_pre,srp_post
1,E,10:03,11:03,60,buffalo,521,2732,N,<2.4,238.25,7.5,5.85
2,E,12:08,12:05,57,buffalo,573,4125,N,19.55,124.8,<5.4,<5.4
3,E,12:09,13:08,59,buffalo,454,1886,Y,22.1,92.85,<5.4,<5.4
4,E,12:10,13:09,59,buffalo,405,1575,Y,21.6,68.1,<5.4,<5.4
5,E,12:11,13:10,59,buffalo,494,2874,N,23.3,124.35,<5.4,<5.4
6,E,12:12,13:11,59,buffalo,423,1639,N,19.55,89.7,<5.4,<5.4
7,E,12:14,13:12,58,buffalo,444,1756,N,<2.4,100.25,<5.4,<5.4
8,E,12:15,13:14,59,buffalo,442,1695,Y,<2.4,83.45,<5.4,<5.4
9,E,14:21,13:15,54,buffalo,476,2253,N,<2.4,263.85,<5.4,<5.4
10,E,14:22,15:21,59,buffalo,469,2207,N,<2.4,104.4,<5.4,<5.4
11,C,11:06,15:22,256,reference,NA,NA,NA,<2.4,12.8,<5.4,<5.4
